sample_id,stage,latency_s,peak_vram_gb,energy_J,is_warmup
144,nli,0.802836,2.710547,99.980,0
145,image_search,2.870706,15.348945,388.308,0
145,reranker,0.000578,16.188573,0.030,0
145,nli,0.662708,2.332626,73.011,0
146,image_search,2.862639,15.348945,385.343,0
146,reranker,0.000484,16.188573,0.056,0
146,nli,1.701306,5.261748,297.137,0
147,image_search,3.303794,15.348945,395.103,0
147,reranker,0.000682,16.188573,0.049,0
147,nli,2.194289,7.386117,469.077,0
148,image_search,3.299533,15.348945,439.927,0
148,reranker,0.000576,16.188573,0.042,0
148,nli,1.696186,5.947397,308.244,0
149,image_search,2.409628,15.348945,302.546,0
149,reranker,0.000561,16.188573,0.085,0
149,nli,2.437461,7.600360,583.092,0
150,image_search,2.977535,15.348945,400.213,0
150,reranker,0.000554,16.188573,0.029,0
150,nli,0.683548,2.430272,82.980,0
151,image_search,3.588703,15.348945,427.457,0
151,reranker,0.000461,16.188573,0.070,0
151,nli,1.608546,4.844709,288.974,0
152,image_search,3.857001,15.348945,468.269,0
152,reranker,0.000471,16.188573,0.071,0
152,nli,2.383802,9.972648,534.826,0
153,image_search,3.385009,15.348945,454.598,0
153,reranker,0.000606,16.188573,0.030,0
153,nli,0.440340,1.762221,47.514,0
154,image_search,2.374795,15.348945,316.817,0
154,reranker,0.000522,16.188573,0.026,0
154,nli,0.959974,3.253628,123.635,0
155,image_search,2.362009,15.348945,319.201,0
155,reranker,0.000584,16.188573,0.039,0
155,nli,2.417625,9.972648,532.377,0
156,image_search,2.366739,15.348945,317.045,0
156,reranker,0.000560,16.188573,0.037,0
156,nli,0.811051,2.883281,110.224,0
157,image_search,2.291969,15.348945,279.572,0
157,reranker,0.000526,16.188573,0.038,0
157,nli,3.108538,9.972648,746.537,0
158,image_search,2.359683,15.348945,321.260,0
158,reranker,0.000596,16.188573,0.108,0
158,nli,2.771144,8.634422,635.796,0
159,image_search,2.373852,15.348945,316.583,0
159,reranker,0.000479,16.188573,0.039,0
159,nli,0.483145,1.861915,51.166,0
160,image_search,2.909730,15.348945,387.759,0
160,reranker,0.000466,16.188573,0.073,0
160,nli,3.082104,9.972648,762.788,0
161,image_search,3.554664,15.348945,467.677,0
161,reranker,0.000459,16.188573,0.026,0
161,nli,1.230963,4.386683,195.168,0
162,image_search,3.040161,15.348945,406.294,0
162,reranker,0.000543,16.188573,0.036,0
162,nli,1.606136,5.379450,283.715,0
163,image_search,2.990027,15.348945,401.190,0
163,reranker,0.000954,16.188573,0.039,0
163,nli,0.857928,3.143973,113.125,0
164,image_search,2.946997,15.348945,393.462,0
164,reranker,0.000462,16.188573,0.046,0
164,nli,2.601839,9.342547,601.520,0
165,image_search,3.077651,15.348945,388.917,0
165,reranker,0.000500,16.188573,0.030,0
165,nli,1.285015,4.255742,207.943,0
166,image_search,2.348488,15.348945,310.632,0
166,reranker,0.000599,16.188573,0.107,0
166,nli,3.139632,9.972648,780.855,0
167,image_search,2.378923,15.348945,311.145,0
167,reranker,0.000436,16.188573,0.037,0
167,nli,2.052428,7.250570,444.887,0
168,image_search,2.339684,15.348945,285.883,0
168,reranker,0.000447,16.188573,0.025,0
168,nli,0.721636,2.386333,84.183,0
169,image_search,2.410111,15.348945,324.401,0
169,reranker,0.000454,16.188573,0.033,0
169,nli,1.312912,4.973931,201.090,0
170,image_search,2.422637,15.348945,295.561,0
170,reranker,0.000553,16.188573,0.037,0
170,nli,3.130905,9.972648,766.869,0
171,image_search,2.345632,15.348945,283.677,0
171,reranker,0.000545,16.188573,0.026,0
171,nli,1.331061,3.907654,216.076,0
172,image_search,2.349303,15.348945,312.975,0
172,reranker,0.000566,16.188573,0.046,0
172,nli,1.322770,4.168244,208.972,0
173,image_search,2.319423,15.348945,284.451,0
173,reranker,0.000532,16.188573,0.025,0
173,nli,2.586697,9.972648,592.189,0
174,image_search,2.589220,15.348945,345.890,0
174,reranker,0.000462,16.188573,0.038,0
174,nli,1.458853,4.157702,244.661,0
175,image_search,3.434857,15.348945,458.842,0
175,reranker,0.000552,16.188573,0.055,0
175,nli,1.449635,4.742276,251.402,0
176,image_search,3.633921,15.348945,436.243,0
176,reranker,0.000565,16.188573,0.053,0
176,nli,3.098561,9.972648,754.885,0
177,image_search,3.752012,15.348945,490.706,0
177,reranker,0.000609,16.188573,0.044,0
177,nli,2.405190,9.972648,532.612,0
178,image_search,2.379477,15.348945,295.210,0
178,reranker,0.000453,16.188573,0.075,0
178,nli,3.163662,9.972648,740.708,0
179,image_search,2.355883,15.348945,284.164,0
179,reranker,0.000556,16.188573,0.094,0
179,nli,2.538076,9.972648,562.992,0
180,image_search,2.419119,15.348945,299.859,0
180,reranker,0.000535,16.188573,0.053,0
180,nli,1.272043,4.536687,199.841,0
181,image_search,2.433615,15.348945,327.820,0
181,reranker,0.000596,16.188573,0.045,0
181,nli,0.924244,3.231329,128.482,0
182,image_search,4.069641,15.348945,531.656,0
182,reranker,0.000578,16.188573,0.035,0
182,nli,2.511527,7.773342,553.414,0
183,image_search,3.812191,15.348945,497.923,0
183,reranker,0.000469,16.188573,0.047,0
183,nli,1.122745,3.688617,165.590,0
184,image_search,3.623285,15.348945,475.830,0
